title,label,score
2023-02-10-affidavit-dckt-1617_4,exhibits,0.6218180656433105
2023-02-09-affidavit-dckt-1599_0,court_filings,0.625919759273529
2023-02-09-affidavit-dckt-1599_0-2,court_filings,0.625919759273529
2023-02-16-curling-brief-redaction-dckt-1636_0,court_filings,0.6954326033592224
2022-02-03-dckt-1304_3-decl-of-j.-a.-halderman,court_filings,0.6876691579818726
curling-brief,court_filings,0.6961597204208374
2023-02-08 Affidavit [dckt 1595_0],court_filings,0.6569446325302124
2023-02-10 Affidavit [dckt 1618_7],exhibits,0.4916369616985321
2023-02-08 Affidavit [dckt 1593_6],court_filings,0.4435800015926361
2023-02-08 Affidavit [dckt 1597_1],court_filings,0.5782127976417542
2023-02-08 Affidavit [dckt 1597_13],court_filings,0.6490656137466431
2023-02-08 Affidavit [dckt 1597_12],court_filings,0.5802664160728455
2023-02-08 Affidavit [dckt 1596_4],court_filings,0.5586563944816589
2023-02-08 Affidavit [dckt 1597_0],court_filings,0.5454165935516357
2023-02-08 Affidavit [dckt 1593_7],court_filings,0.5638591647148132
2023-02-10 Affidavit [dckt 1618_6],court_filings,0.5501654148101807
2023-02-08 Affidavit [dckt 1595_1],exhibits,0.5749953389167786
2023-02-08 Affidavit [dckt 1597_15],court_filings,0.6393865346908569
2023-02-08 Affidavit [dckt 1596_1],court_filings,0.514999508857727
2023-02-08 Affidavit [dckt 1597_5],court_filings,0.5624250769615173
2023-02-08 Affidavit [dckt 1593_2],court_filings,0.5948588252067566
2023-02-08 Affidavit [dckt 1591_1],court_filings,0.5232425332069397
2023-02-10 Affidavit [dckt 1618_1],court_filings,0.526813805103302
2023-02-08 Affidavit [dckt 1593_0],court_filings,0.684457540512085
2023-02-08 Affidavit [dckt 1597_7],court_filings,0.5767683982849121
2023-02-08 Affidavit [dckt 1596_3],court_filings,0.5543524622917175
2023-02-08 Affidavit [dckt 1596_2],court_filings,0.5098735094070435
2023-02-08 Affidavit [dckt 1597_6],court_filings,0.5864134430885315
2023-02-08 Affidavit [dckt 1593_1],court_filings,0.5540586709976196
2023-02-10 Affidavit [dckt 1618_0],court_filings,0.6652431488037109
2023-02-08 Affidavit [dckt 1591_0],exhibits,0.5624366998672485
2023-02-08 Affidavit [dckt 1597_14],court_filings,0.5983306765556335
2023-02-08 Affidavit [dckt 1597_9],court_filings,0.5679327249526978
2023-02-08 Affidavit [dckt 1594_0],court_filings,0.5963863134384155
2023-02-10 Affidavit [dckt 1618_3],exhibits,0.695029079914093
2023-02-10 Affidavit [dckt 1618_2],court_filings,0.5264346599578857
2023-02-08 Affidavit [dckt 1594_1],court_filings,0.5341210961341858
2023-02-08 Affidavit [dckt 1593_3],court_filings,0.5836566686630249
2023-02-08 Affidavit [dckt 1597_4],court_filings,0.5675420761108398
2023-02-08 Affidavit [dckt 1596_0],court_filings,0.6455773711204529
2023-02-08 Affidavit [dckt 1597_8],court_filings,0.5635119676589966
2023-02-08 Affidavit [dckt 1592_0],court_filings,0.4907430112361908
2023-02-08 Affidavit [dckt 1597_3],court_filings,0.5618252754211426
2023-02-08 Affidavit [dckt 1593_4],court_filings,0.5644400715827942
2023-02-10 Affidavit [dckt 1618_5],exhibits,0.6881681084632874
2023-02-08 Affidavit [dckt 1597_11],court_filings,0.5877467393875122
2023-02-10 Affidavit [dckt 1618_9],court_filings,0.5827407836914062
2023-02-10 Affidavit [dckt 1618_8],exhibits,0.477102667093277
2023-02-10 Affidavit [dckt 1618_4],exhibits,0.5947249531745911
2023-02-08 Affidavit [dckt 1593_5],court_filings,0.5709791779518127
2023-02-08 Affidavit [dckt 1597_2],court_filings,0.5794582366943359
2023-02-05 Affidavit [dckt 1589_5],court_filings,0.6488199830055237
2023-02-05 Affidavit [dckt 1589_9],court_filings,0.6134679317474365
2023-02-05 Affidavit [dckt 1589_8],court_filings,0.6767269372940063
2023-02-05 Affidavit [dckt 1589_4],court_filings,0.6669111251831055
2023-02-05 Affidavit [dckt 1589_10],court_filings,0.6069074869155884
2023-02-05 Affidavit [dckt 1589_3],court_filings,0.6332014799118042
2023-02-05 Affidavit [dckt 1589_2],court_filings,0.618914783000946
2023-02-05 Affidavit [dckt 1589_11],court_filings,0.6673054099082947
2023-02-05 Affidavit [dckt 1589_1],court_filings,0.6783275008201599
2023-02-05 Affidavit [dckt 1589_0],court_filings,0.5669243335723877
2023-02-05 Affidavit [dckt 1589_7],court_filings,0.5542150735855103
2023-02-05 Affidavit [dckt 1589_6],court_filings,0.6236630082130432
1590-18,court_filings,0.5385550856590271
1590-4,court_filings,0.6299908757209778
1590-5,court_filings,0.6464001536369324
1590-19,exhibits,0.8858887553215027
1590-7,court_filings,0.5954626202583313
1590-6,court_filings,0.6630409955978394
1590-2,court_filings,0.6101381778717041
1590-3,court_filings,0.6554684042930603
1590-1,court_filings,0.4970044493675232
1590-20,court_filings,0.481908917427063
1590-11,court_filings,0.5557050108909607
1590-10,court_filings,0.579196572303772
1590-12,court_filings,0.6693871021270752
1590-13,exhibits,0.8422059416770935
1590-17,exhibits,0.6449900269508362
1590-16,court_filings,0.45236700773239136
1590-14,court_filings,0.6139823198318481
1590-8,exhibits,0.517047643661499
1590-9,court_filings,0.6747323274612427
1590-15,exhibits,0.4639441668987274
20230106 CGG Doc. 1554 L Digges Transcript,exhibits,0.4192908704280853
2023-01-09 Motion [dckt 1567_1],court_filings,0.7019803524017334
20230109 CGG Doc. 1569-43 Stark Letter,court_filings,0.6369892358779907
20230109 CGG Doc. 1569-37 Carter Center Report,court_filings,0.6578640937805176
20230109 CGG Doc. 1569-39 SOS Risk-Limiting Audit Report,court_filings,0.6380341053009033
20230106 CGG Doc. 1556-1  Ricardo Davis Index and  Exhibits,exhibits,0.49532556533813477
2023-01-09 Motion [dckt 1567_0],court_filings,0.6724792122840881
20230109 CGG Doc. 1569-42 Stark Declaration,court_filings,0.46460697054862976
